cycle,number,prefix,label,title,votes,own_votes,amendment_votes,first,last,final_outcome,final_result,href
43,403,S,S/403,"Az Országgyűlés bizottságainak létrehozásáról, tagjainak és tisztségviselőinek megválasztásáról szóló 17/2026. (V. 9.) OGY határozat módosításáról",1,1,0,2026-07-20,2026-07-20,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22f4276dad-cb47-4a22-82b0-6cf046f7ff1d%22%7D
43,406,I,I/406,Mikor kaphatnak iskolakezdési támogatást a sokgyermekes családok?,1,1,0,2026-08-10,2026-08-10,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2277064011-68bc-47f0-a21b-e558d5fdb84a%22%7D
43,407,I,I/407,Tatárjárás a közmédiában? Ön egyetért a Hazajáró megszüntetésével?,1,1,0,2026-08-10,2026-08-10,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2280c6adda-3c64-4994-be67-e36f912c4e81%22%7D
43,408,I,I/408,Mit tesznek a civilizációs betegségek megelőzése és visszaszorítása érdekében?,1,1,0,2026-07-27,2026-07-27,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%224e590a8f-8097-4e18-8011-b6eba5dd1446%22%7D
43,416,I,I/416,Meddig működhet törvénytelenül az MNB Felügyelőbizottsága?,1,1,0,2026-07-27,2026-07-27,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%228ff9232b-c483-4da5-ad6e-22e44ebf3f6e%22%7D
43,419,S,S/419,Az Alkotmánybíróság új tagjának megválasztásáról (Dr. Sonnevend Pál),1,1,0,2026-07-27,2026-07-27,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2216320eee-76bc-45cc-8468-2252713d9fc7%22%7D
43,448,I,I/448,"Miért szüntették meg köztévé egyik legnépszerűbb műsorát, a Hazajárót?",1,1,0,2026-08-10,2026-08-10,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%223b136d7e-0d22-4e58-b5d6-a4e028e8788c%22%7D
43,451,H,H/451,Varga Lőrinc Mihály országgyűlési képviselő mentelmi ügyében,1,1,0,2026-08-11,2026-08-11,mentelmi jog felfüggesztve,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22d66c9dfd-15b0-4e9f-9c04-149d6e5a7029%22%7D
43,452,H,H/452,Takács Péter országgyűlési képviselő mentelmi ügyében,1,1,0,2026-08-11,2026-08-11,mentelmi jog fenntartva,Elutasítva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22b5bd42f0-48ce-47f3-bd56-1ef34c24cf56%22%7D
43,453,H,H/453,Toroczkai László országgyűlési képviselő mentelmi ügyében,1,1,0,2026-08-11,2026-08-11,mentelmi jog fenntartva,Elutasítva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2220317dc3-89ed-49b1-9a6f-3d0e8f2fdf7a%22%7D
43,454,H,H/454,Toroczkai László országgyűlési képviselő mentelmi ügyében,1,1,0,2026-08-11,2026-08-11,mentelmi jog fenntartva,Elutasítva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%225be4ea30-c22b-4827-9762-f0aae6e67e01%22%7D
43,465,T,T/465,Az általános forgalmi adóról szóló 2007. évi CXXVII. törvény módosításáról,2,2,0,2026-08-10,2026-08-11,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22d11bf161-cbe0-4f1e-916a-98daf35346ab%22%7D
43,471,I,I/471,Miért nem foglalkoznak a hivatásos járművezetők problémáival?,1,1,0,2026-08-10,2026-08-10,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22818ac949-eeba-47ec-bef2-76403433678d%22%7D
43,472,I,I/472,Kinek az érdekében hagyják elszállni az üzemanyagárakat?,1,1,0,2026-08-10,2026-08-10,Országgyűlés az interpellációs választ elfogadta,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2221bcab28-fada-49c7-87fc-08fa6a9bb9a4%22%7D
43,475,S,S/475,Dr. Nagy Gábor Bálint legfőbb ügyész lemondási idejéről,1,1,0,2026-08-11,2026-08-11,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22cc9e96d9-07ef-477f-b476-797d65372f3f%22%7D
43,482,S,S/482,Ajánlóív a 2026. évi köztársaságielnök-választáshoz (Dr. Baka András),1,1,0,2026-08-11,2026-08-11,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%2292defd86-1bad-4cf0-bfaf-2035b547870e%22%7D
43,483,S,S/483,Ajánlóív a 2026. évi köztársaságielnök-választáshoz (Dr. Tóth Máté),1,1,0,2026-08-11,2026-08-11,az Országgyűlés az ajánlás érvénytelenségét megállapította,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%22fabfb593-8a53-48e8-900d-bcdf6c0b890c%22%7D
43,484,S,S/484,"Az Országgyűlés bizottságainak létrehozásáról, tagjainak és tisztségviselőinek megválasztásáról szóló 17/2026. (V. 9.) OGY határozat módosításáról",1,1,0,2026-08-10,2026-08-10,önálló indítvány elfogadva,Elfogadva,https://www.parlament.hu/web/guest/iromanyok_mobil?iromany=%7B%22id%22%3A%228ecd386a-5e76-411a-b113-fd49e0898f4c%22%7D
